Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00272,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,3,40,2,True,0,0,0,53.98548,,0,0,0,0,0,0,,48,151,0,36,0
60.01887,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,5,85,4,True,0,2,0,57.39631,,0,0,0,0,0,0,,55,201,0,183,0
90.03445,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,12,215,13,True,0,5,0,58.31626,,0,0,0,0,0,0,,61,251,0,459,0
120.067,,25,27,25,25,27,31,25,25,24,24,25,25,9,5,13,13,17,330,21,False,0,10,0,61.83538,,0,0,0,0,0,0,,170,343,0,894,0
150.0833,,24,24,25,23,24,26,25,22,23,22,25,22,15,14,13,20,23,445,26,False,0,16,0,63.42831,,0,0,1,0,0,0,,207,351,0,1721,34
180.099,,22,23,19,23,25,26,26,22,23,22,26,22,16,15,14,18,27,445,26,False,0,19,1,62.79272,,0,0,1,0,0,0,,216,351,0,2086,39
210.0993,,24,23,28,23,26,26,28,22,21,21,21,22,15,16,9,18,31,550,33,False,0,25,1,66.32172,,0,0,1,0,0,0,,428,471,0,2635,39
240.1152,,25,23,26,29,24,25,26,20,22,22,26,20,15,17,8,18,39,797,47,False,1,28,2,65.06239,,0,0,4,0,0,0,,470,521,0,3351,47
270.1483,,25,23,26,27,23,25,26,18,22,22,26,18,16,17,8,23,42,966,56,False,2,29,3,63.7622,,0,0,5,0,0,0,,470,521,0,3783,51
300.1644,,26,23,31,27,22,25,23,18,22,22,27,18,15,17,5,23,46,1058,64,False,2,29,3,63.24806,,2,0,5,1,0,0,,470,521,0,4221,61
330.1795,,26,23,31,27,22,25,23,18,22,22,27,18,15,17,5,23,47,1058,64,False,3,29,4,61.98804,,2,0,5,1,0,0,,472,521,0,4551,61
360.1958,,26,23,30,27,23,25,25,18,22,22,26,18,14,15,5,23,51,1183,74,False,4,32,4,63.09092,,2,0,5,1,0,0,,572,641,0,4993,61
390.2292,,26,23,31,27,24,26,26,18,22,22,27,18,13,15,2,23,55,1243,79,False,5,32,4,62.91692,,2,0,5,1,0,0,,621,727,0,5372,62
420.2447,,26,23,31,24,28,26,30,27,21,22,24,16,12,15,1,19,62,1303,82,False,5,35,5,63.50072,,2,0,5,1,0,0,,632,991,0,6058,127
450.2779,,27,23,31,27,27,26,30,26,21,22,24,16,12,15,1,18,63,1313,82,False,5,36,5,62.42021,,2,0,6,1,1,0,,632,991,0,6204,128
480.2942,,27,22,32,27,27,26,30,26,20,22,24,16,12,16,0,18,66,1418,91,False,6,37,5,62.32891,,2,0,6,1,1,0,,636,991,0,6538,129
510.3272,,27,24,31,27,27,26,29,26,20,21,21,16,13,16,5,18,71,1538,98,False,6,39,5,63.1096,,2,0,6,1,1,0,,733,1111,0,6797,129
540.3433,,27,24,31,26,27,26,28,26,19,20,21,16,13,16,5,18,80,1678,108,False,7,39,5,62.39814,,2,0,6,1,1,0,,779,1211,0,7438,141
570.3585,,27,24,31,26,26,26,26,26,19,21,19,16,14,16,9,18,85,1853,120,False,7,42,5,62.55029,,2,0,6,1,1,0,,793,1301,0,7908,142
600.3588,,27,23,33,26,27,29,25,26,18,19,19,16,13,14,9,18,92,1963,129,False,7,43,6,62.91549,,2,0,6,1,1,0,,844,1401,0,8620,146
